Date,Open,High,Low,Close,Volume
2024-01-01,161.52,167.2,155.59,158.53,2130
2024-01-02,190.52,199.07,182.2,183.26,9686
2024-01-03,165.12,169.43,156.47,167.39,6486
2024-01-04,119.45,123.77,115.43,123.01,8213
2024-01-05,143.62,153.29,141.72,144.34,4468
2024-01-06,167.8,176.03,157.91,166.55,4672
2024-01-07,158.56,160.1,149.26,153.1,7802
2024-01-08,112.26,121.12,110.71,121.11,5290
2024-01-09,111.21,119.21,107.5,118.05,6037
2024-01-10,186.38,191.2,180.61,190.78,9900
2024-01-11,140.66,144.44,138.56,140.31,2574
2024-01-12,113.45,117.14,104.63,115.45,5453
2024-01-13,156.39,164.1,147.18,156.96,2255
2024-01-14,174.09,181.91,168.11,176.77,2402
2024-01-15,179.52,187.28,176.67,179.1,8707
2024-01-16,142.01,151.2,137.5,146.33,3344
2024-01-17,193.5,195.46,187.08,191.1,4773
2024-01-18,111.2,113.83,104.85,106.59,8283
2024-01-19,197.73,201.83,190.73,194.39,1799
2024-01-20,172.57,175.81,166.84,175.18,5694
2024-01-21,117.42,125.71,111.1,118.24,9755
2024-01-22,188.18,189.84,179.43,187.43,5826
2024-01-23,163.75,164.78,160.74,163.68,8320
2024-01-24,159.42,167.6,156.42,160.44,1470
2024-01-25,163.04,170.99,161.34,163.72,4668
2024-01-26,104.27,109.56,100.19,100.79,3188
2024-01-27,131.5,140.55,124.79,134.61,8779
2024-01-28,182.53,188.81,173.17,176.05,1612
2024-01-29,199.28,201.2,192.32,196.03,2365
2024-01-30,145.74,148.26,140.58,145.15,5458
2024-01-31,169.76,176.86,160.88,163.08,4950
2024-02-01,174.71,180.53,172.96,175.81,7762
2024-02-02,113.43,120.05,109.79,113.99,9314
2024-02-03,196.47,202.25,188.69,190.81,7386
2024-02-04,191.39,194.59,186.3,191.19,2197
2024-02-05,170.34,179.63,167.26,171.93,9856
2024-02-06,106.43,115.97,98.12,100.66,5498
2024-02-07,121.69,130.15,117.65,128.52,2995
2024-02-08,180.84,189.56,177.87,178.95,3009
2024-02-09,145.76,151.26,143.15,150.98,4832
2024-02-10,180.31,188.8,173.94,178.65,3400
2024-02-11,170.21,180.2,162.98,175.63,8676
2024-02-12,122.53,132.32,116.62,131.74,2062
2024-02-13,138.09,147.04,135.42,144.61,1361
2024-02-14,112.41,114.77,108.45,110.92,2204
2024-02-15,112.73,116.21,109.21,109.34,6668
2024-02-16,124.78,132.73,115.45,120.16,8531
2024-02-17,139.28,145.17,129.28,138.94,1642
2024-02-18,199.55,207.46,191.0,193.23,2428
2024-02-19,138.65,140.9,134.25,136.33,7890
2024-02-20,103.01,106.35,95.02,100.63,9594
2024-02-21,124.05,132.86,117.89,121.97,1441
2024-02-22,198.05,201.6,191.12,199.28,8089
2024-02-23,151.6,160.05,144.38,159.05,3737
2024-02-24,114.21,122.07,109.84,110.17,6975
2024-02-25,193.38,201.48,191.36,199.37,4042
2024-02-26,106.97,112.87,97.0,101.34,1440
2024-02-27,159.58,161.85,153.62,154.38,3475
2024-02-28,101.87,106.92,98.51,101.76,7748
2024-02-29,132.27,141.52,124.66,127.91,4625
2024-03-01,112.31,120.04,106.84,114.32,6503
2024-03-02,137.98,142.5,129.91,137.24,3789
2024-03-03,178.53,186.65,172.43,183.89,4400
2024-03-04,160.57,168.57,159.29,163.01,1838
2024-03-05,179.42,184.35,174.71,179.08,4731
2024-03-06,121.21,122.45,117.66,118.86,6694
2024-03-07,148.76,158.37,140.12,151.02,1378
2024-03-08,126.69,129.76,124.01,125.67,1766
2024-03-09,122.4,130.28,121.22,126.24,5157
2024-03-10,163.47,164.62,158.75,162.64,1640
2024-03-11,145.01,149.42,135.47,138.98,5601
2024-03-12,103.7,107.27,100.51,104.54,9014
2024-03-13,152.9,158.05,146.04,148.24,8545
2024-03-14,171.78,175.7,170.36,173.08,1454
2024-03-15,120.13,128.28,111.81,127.06,2721
2024-03-16,196.3,203.84,191.77,195.7,9080
2024-03-17,112.79,120.15,110.31,116.34,2526
2024-03-18,132.51,140.6,128.66,134.46,1413
2024-03-19,132.68,135.09,130.18,133.18,2920
2024-03-20,172.38,173.56,164.1,168.06,9432
2024-03-21,190.61,191.99,183.71,184.14,7462
